,LONGITUDE,LATITUDE,TYPEQU
2765,-0.797383,44.841187,E110
2766,-0.797263,44.84129,E110
2767,-0.798917,44.839897,E110
2768,-0.79898,44.839886,E110
2769,-0.796029,44.843277,E110
2770,-0.796116,44.84306,E110
2771,-0.746484,44.841656,E110
2772,-0.613732,44.83083,E110
2773,-0.653726,44.840893,E110
2774,-0.717964,44.84219,E110
2775,-0.549213,44.81677,E110
2776,-0.547956,44.817326,E110
2777,-0.609687,44.83214,E110
2778,-0.609496,44.83212,E110
2779,-0.544977,44.803425,E110
2780,-0.54559,44.80291,E110
2781,-0.536398,44.780968,E110
2782,-0.536521,44.7811,E110
2783,-0.613538,44.832737,E110
2784,-0.693373,44.85007,E110
2785,-0.693116,44.850006,E110
2786,-0.700124,44.84887,E110
2787,-0.701107,44.848602,E110
2788,-0.538279,44.802,E110
2789,-0.538169,44.801857,E110
2790,-0.548606,44.81758,E110
2791,-0.759467,44.841232,E110
2792,-0.758621,44.841084,E110
2793,-0.653604,44.840958,E110
2794,-0.692831,44.85088,E110
2795,-0.612062,44.860588,E110
2796,-0.612186,44.860546,E110
2797,-0.599393,44.854717,E110
2798,-0.597047,44.853893,E110
2799,-0.605517,44.858322,E110
2800,-0.605461,44.858242,E110
2801,-0.592203,44.853237,E110
2802,-0.586217,44.851368,E110
2803,-0.629945,44.87356,E110
2804,-0.62377,44.86686,E110
2805,-0.623233,44.86639,E110
2806,-0.621474,44.865047,E110
2807,-0.620679,44.86432,E110
2808,-0.631159,44.871754,E110
2809,-0.632364,44.872364,E110
2810,-0.591481,44.852055,E110
2811,-0.585008,44.849705,E110
2812,-0.580966,44.8473,E110
2813,-0.608527,44.85982,E110
2814,-0.608349,44.8598,E110
2815,-0.602774,44.856655,E110
2816,-0.602125,44.856224,E110
2817,-0.61792,44.86301,E110
